model,sourceFile,sourceRowRef,field,message
Subject,src/lib/content/master-syllabus-data.ts,id=98,semester,"Multi-semester source row ""II/IV/VI"" expanded into Semester 6 (and 2 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=99,semester,"Multi-semester source row ""II/IV/VI"" expanded into Semester 2 (and 2 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=99,semester,"Multi-semester source row ""II/IV/VI"" expanded into Semester 4 (and 2 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=99,semester,"Multi-semester source row ""II/IV/VI"" expanded into Semester 6 (and 2 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=100,semester,"Multi-semester source row ""II/IV/VI"" expanded into Semester 2 (and 2 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=100,semester,"Multi-semester source row ""II/IV/VI"" expanded into Semester 4 (and 2 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=100,semester,"Multi-semester source row ""II/IV/VI"" expanded into Semester 6 (and 2 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=101,semester,"Multi-semester source row ""II/IV/VI"" expanded into Semester 2 (and 2 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=101,semester,"Multi-semester source row ""II/IV/VI"" expanded into Semester 4 (and 2 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=101,semester,"Multi-semester source row ""II/IV/VI"" expanded into Semester 6 (and 2 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=102,semester,"Multi-semester source row ""II/IV/VI"" expanded into Semester 2 (and 2 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=102,semester,"Multi-semester source row ""II/IV/VI"" expanded into Semester 4 (and 2 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=102,semester,"Multi-semester source row ""II/IV/VI"" expanded into Semester 6 (and 2 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=103,semester,"Multi-semester source row ""II/IV/VI"" expanded into Semester 2 (and 2 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=103,semester,"Multi-semester source row ""II/IV/VI"" expanded into Semester 4 (and 2 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=103,semester,"Multi-semester source row ""II/IV/VI"" expanded into Semester 6 (and 2 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=126,semester,"Multi-semester source row ""VI/VII"" expanded into Semester 6 (and 1 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=126,semester,"Multi-semester source row ""VI/VII"" expanded into Semester 7 (and 1 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=146,semester,"Multi-semester source row ""I/III/V/VII"" expanded into Semester 1 (and 3 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=146,semester,"Multi-semester source row ""I/III/V/VII"" expanded into Semester 3 (and 3 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=146,semester,"Multi-semester source row ""I/III/V/VII"" expanded into Semester 5 (and 3 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=146,semester,"Multi-semester source row ""I/III/V/VII"" expanded into Semester 7 (and 3 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=147,semester,"Multi-semester source row ""I/III/V/VII"" expanded into Semester 1 (and 3 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=147,semester,"Multi-semester source row ""I/III/V/VII"" expanded into Semester 3 (and 3 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=147,semester,"Multi-semester source row ""I/III/V/VII"" expanded into Semester 5 (and 3 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=147,semester,"Multi-semester source row ""I/III/V/VII"" expanded into Semester 7 (and 3 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=148,semester,"Multi-semester source row ""I/III/V/VII"" expanded into Semester 1 (and 3 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=148,semester,"Multi-semester source row ""I/III/V/VII"" expanded into Semester 3 (and 3 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=148,semester,"Multi-semester source row ""I/III/V/VII"" expanded into Semester 5 (and 3 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=148,semester,"Multi-semester source row ""I/III/V/VII"" expanded into Semester 7 (and 3 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=149,semester,"Multi-semester source row ""I/III/V/VII"" expanded into Semester 1 (and 3 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=149,semester,"Multi-semester source row ""I/III/V/VII"" expanded into Semester 3 (and 3 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=149,semester,"Multi-semester source row ""I/III/V/VII"" expanded into Semester 5 (and 3 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=149,semester,"Multi-semester source row ""I/III/V/VII"" expanded into Semester 7 (and 3 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=150,semester,"Multi-semester source row ""I/III/V/VII"" expanded into Semester 1 (and 3 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=150,semester,"Multi-semester source row ""I/III/V/VII"" expanded into Semester 3 (and 3 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=150,semester,"Multi-semester source row ""I/III/V/VII"" expanded into Semester 5 (and 3 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=150,semester,"Multi-semester source row ""I/III/V/VII"" expanded into Semester 7 (and 3 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=151,semester,"Multi-semester source row ""I/III/V/VII"" expanded into Semester 1 (and 3 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=151,semester,"Multi-semester source row ""I/III/V/VII"" expanded into Semester 3 (and 3 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=151,semester,"Multi-semester source row ""I/III/V/VII"" expanded into Semester 5 (and 3 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=151,semester,"Multi-semester source row ""I/III/V/VII"" expanded into Semester 7 (and 3 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=152,semester,"Multi-semester source row ""I/III/V/VII"" expanded into Semester 1 (and 3 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=152,semester,"Multi-semester source row ""I/III/V/VII"" expanded into Semester 3 (and 3 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=152,semester,"Multi-semester source row ""I/III/V/VII"" expanded into Semester 5 (and 3 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=152,semester,"Multi-semester source row ""I/III/V/VII"" expanded into Semester 7 (and 3 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=153,semester,"Multi-semester source row ""I/III/V/VII"" expanded into Semester 1 (and 3 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=153,semester,"Multi-semester source row ""I/III/V/VII"" expanded into Semester 3 (and 3 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=153,semester,"Multi-semester source row ""I/III/V/VII"" expanded into Semester 5 (and 3 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=153,semester,"Multi-semester source row ""I/III/V/VII"" expanded into Semester 7 (and 3 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=154,semester,"Multi-semester source row ""I/III/V/VII"" expanded into Semester 1 (and 3 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=154,semester,"Multi-semester source row ""I/III/V/VII"" expanded into Semester 3 (and 3 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=154,semester,"Multi-semester source row ""I/III/V/VII"" expanded into Semester 5 (and 3 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=154,semester,"Multi-semester source row ""I/III/V/VII"" expanded into Semester 7 (and 3 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=158,semester,"Multi-semester source row ""II/IV/VI/VIII"" expanded into Semester 2 (and 3 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=158,semester,"Multi-semester source row ""II/IV/VI/VIII"" expanded into Semester 4 (and 3 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=158,semester,"Multi-semester source row ""II/IV/VI/VIII"" expanded into Semester 6 (and 3 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=158,semester,"Multi-semester source row ""II/IV/VI/VIII"" expanded into Semester 8 (and 3 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=159,semester,"Multi-semester source row ""II/IV/VI/VIII"" expanded into Semester 2 (and 3 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=159,semester,"Multi-semester source row ""II/IV/VI/VIII"" expanded into Semester 4 (and 3 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=159,semester,"Multi-semester source row ""II/IV/VI/VIII"" expanded into Semester 6 (and 3 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=159,semester,"Multi-semester source row ""II/IV/VI/VIII"" expanded into Semester 8 (and 3 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=160,semester,"Multi-semester source row ""II/IV/VI/VIII"" expanded into Semester 2 (and 3 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=160,semester,"Multi-semester source row ""II/IV/VI/VIII"" expanded into Semester 4 (and 3 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=160,semester,"Multi-semester source row ""II/IV/VI/VIII"" expanded into Semester 6 (and 3 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=160,semester,"Multi-semester source row ""II/IV/VI/VIII"" expanded into Semester 8 (and 3 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=161,semester,"Multi-semester source row ""II/IV/VI/VIII"" expanded into Semester 2 (and 3 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=161,semester,"Multi-semester source row ""II/IV/VI/VIII"" expanded into Semester 4 (and 3 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=161,semester,"Multi-semester source row ""II/IV/VI/VIII"" expanded into Semester 6 (and 3 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=161,semester,"Multi-semester source row ""II/IV/VI/VIII"" expanded into Semester 8 (and 3 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=162,semester,"Multi-semester source row ""II/IV/VI/VIII"" expanded into Semester 2 (and 3 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=162,semester,"Multi-semester source row ""II/IV/VI/VIII"" expanded into Semester 4 (and 3 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=162,semester,"Multi-semester source row ""II/IV/VI/VIII"" expanded into Semester 6 (and 3 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=162,semester,"Multi-semester source row ""II/IV/VI/VIII"" expanded into Semester 8 (and 3 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=163,semester,"Multi-semester source row ""II/IV/VI/VIII"" expanded into Semester 2 (and 3 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=163,semester,"Multi-semester source row ""II/IV/VI/VIII"" expanded into Semester 4 (and 3 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=163,semester,"Multi-semester source row ""II/IV/VI/VIII"" expanded into Semester 6 (and 3 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=163,semester,"Multi-semester source row ""II/IV/VI/VIII"" expanded into Semester 8 (and 3 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=164,semester,"Multi-semester source row ""II/IV/VI/VIII"" expanded into Semester 2 (and 3 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=164,semester,"Multi-semester source row ""II/IV/VI/VIII"" expanded into Semester 4 (and 3 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=164,semester,"Multi-semester source row ""II/IV/VI/VIII"" expanded into Semester 6 (and 3 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=164,semester,"Multi-semester source row ""II/IV/VI/VIII"" expanded into Semester 8 (and 3 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=165,semester,"Multi-semester source row ""II/IV/VI/VIII"" expanded into Semester 2 (and 3 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=165,semester,"Multi-semester source row ""II/IV/VI/VIII"" expanded into Semester 4 (and 3 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=165,semester,"Multi-semester source row ""II/IV/VI/VIII"" expanded into Semester 6 (and 3 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=165,semester,"Multi-semester source row ""II/IV/VI/VIII"" expanded into Semester 8 (and 3 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=170,semester,"Multi-semester source row ""III/ V"" expanded into Semester 3 (and 1 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=170,semester,"Multi-semester source row ""III/ V"" expanded into Semester 5 (and 1 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=172,semester,"Multi-semester source row ""III/ IV"" expanded into Semester 3 (and 1 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=172,semester,"Multi-semester source row ""III/ IV"" expanded into Semester 4 (and 1 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=173,semester,"Multi-semester source row ""III/ V"" expanded into Semester 3 (and 1 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=173,semester,"Multi-semester source row ""III/ V"" expanded into Semester 5 (and 1 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=174,semester,"Multi-semester source row ""III/ IV"" expanded into Semester 3 (and 1 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=174,semester,"Multi-semester source row ""III/ IV"" expanded into Semester 4 (and 1 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=175,semester,"Multi-semester source row ""III/ IV"" expanded into Semester 3 (and 1 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=175,semester,"Multi-semester source row ""III/ IV"" expanded into Semester 4 (and 1 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=177,semester,"Multi-semester source row ""III/ VI"" expanded into Semester 3 (and 1 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=177,semester,"Multi-semester source row ""III/ VI"" expanded into Semester 6 (and 1 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=178,semester,"Multi-semester source row ""III/ V"" expanded into Semester 3 (and 1 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=178,semester,"Multi-semester source row ""III/ V"" expanded into Semester 5 (and 1 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=225,semester,"Multi-semester source row ""VI/VII"" expanded into Semester 6 (and 1 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=225,semester,"Multi-semester source row ""VI/VII"" expanded into Semester 7 (and 1 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=239,semester,"Multi-semester source row ""I/III/IV/V"" expanded into Semester 1 (and 3 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=239,semester,"Multi-semester source row ""I/III/IV/V"" expanded into Semester 3 (and 3 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=239,semester,"Multi-semester source row ""I/III/IV/V"" expanded into Semester 4 (and 3 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=239,semester,"Multi-semester source row ""I/III/IV/V"" expanded into Semester 5 (and 3 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=240,semester,"Multi-semester source row ""I/III/IV/V"" expanded into Semester 1 (and 3 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=240,semester,"Multi-semester source row ""I/III/IV/V"" expanded into Semester 3 (and 3 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=240,semester,"Multi-semester source row ""I/III/IV/V"" expanded into Semester 4 (and 3 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=240,semester,"Multi-semester source row ""I/III/IV/V"" expanded into Semester 5 (and 3 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=241,semester,"Multi-semester source row ""I/III/IV/V"" expanded into Semester 1 (and 3 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=241,semester,"Multi-semester source row ""I/III/IV/V"" expanded into Semester 3 (and 3 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=241,semester,"Multi-semester source row ""I/III/IV/V"" expanded into Semester 4 (and 3 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=241,semester,"Multi-semester source row ""I/III/IV/V"" expanded into Semester 5 (and 3 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=242,semester,"Multi-semester source row ""I/II/III"" expanded into Semester 1 (and 2 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=242,semester,"Multi-semester source row ""I/II/III"" expanded into Semester 2 (and 2 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=242,semester,"Multi-semester source row ""I/II/III"" expanded into Semester 3 (and 2 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=243,semester,"Multi-semester source row ""I/III/IV/V"" expanded into Semester 1 (and 3 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=243,semester,"Multi-semester source row ""I/III/IV/V"" expanded into Semester 3 (and 3 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=243,semester,"Multi-semester source row ""I/III/IV/V"" expanded into Semester 4 (and 3 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=243,semester,"Multi-semester source row ""I/III/IV/V"" expanded into Semester 5 (and 3 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=244,semester,"Multi-semester source row ""I/III/IV/V"" expanded into Semester 1 (and 3 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=244,semester,"Multi-semester source row ""I/III/IV/V"" expanded into Semester 3 (and 3 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=244,semester,"Multi-semester source row ""I/III/IV/V"" expanded into Semester 4 (and 3 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=244,semester,"Multi-semester source row ""I/III/IV/V"" expanded into Semester 5 (and 3 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=245,semester,"Multi-semester source row ""I/III/IV/V"" expanded into Semester 1 (and 3 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=245,semester,"Multi-semester source row ""I/III/IV/V"" expanded into Semester 3 (and 3 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=245,semester,"Multi-semester source row ""I/III/IV/V"" expanded into Semester 4 (and 3 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=245,semester,"Multi-semester source row ""I/III/IV/V"" expanded into Semester 5 (and 3 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=280,semester,"Multi-semester source row ""VI/VII"" expanded into Semester 6 (and 1 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=280,semester,"Multi-semester source row ""VI/VII"" expanded into Semester 7 (and 1 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=299,semester,"Multi-semester source row ""I/IV"" expanded into Semester 1 (and 1 other term(s)) — same subject created once per semester"
Subject,src/lib/content/master-syllabus-data.ts,id=299,semester,"Multi-semester source row ""I/IV"" expanded into Semester 4 (and 1 other term(s)) — same subject created once per semester"
